Name,Day,Time,Host(s),Description,Image
Vinyl Destination,Monday,10:00,Claire Maher & Isabella Konecky,Whatever we're listening to at the moment compiled into a weekly theme!,
Such a Diva,Monday,15:00,Neil Sachdeva,all things pop culture mixed with your new favorite hits,
touch grass,Monday,17:00,"Sohum Desai, Scarlet Hemmins, Joey Berline",We’re a mess and need to touch grass.,
Seeking Attention,Monday,19:00,Eloise Taylor & Jude Poirier,"Jude and Ellie talk the good, the bad, and the celebrity.",
PB & Jam,Tuesday,14:00,Grace Asmar,Tune in!,
Tolkien Tuesday,Tuesday,15:00,Lucy Heidenry,Join me reading J. R. R. Tolkien’s works every week!,
From The Vault,Tuesday,17:00,Max Farrell,"Dartmouth's Grateful Dead radio hour, showing you a selection of the Dead's best live shows and music from the extended family",
The Who Show,Tuesday,18:00,Dillton Serrano & Angel Santos-Utrera,"We have everything, everywhere, all at once",IMG_5378 - Daisy Serrano.jpeg
The Bear and The Dog,Tuesday,21:00,Teddy Choyt,the bear. sometimes the dog.,
ChudCast,Tuesday,2:00,"Victor Etuokwu, Atticus Prinn, Alex Cook",Just a couple chuds chudding out,
Ecclectic Chill,Wednesday,18:00,Nina Kieserman,Music I like. Itll be a mix.,
Play Me Something,Wednesday,19:00,Swayam Tripathy & Carolyn Bartroff Cardenas,We invite a stranger from campus to play us their favorite music,
This is My Show :),Thursday,19:00,Taite Smith,"This is my show, where I play what I want!",
Tier List Tyrants,Saturday,21:00,Yvangi Jacques & Geena San Diego,"Tier List Tyrants delivers the definitive (and sometimes controversial) verdicts on what truly deserves S-tier status. In the world of Tier List Tyrants, no ranking is safe, and only the strongest takes survive!",
Tech Team,Sunday,19:00,,🔧,
